address,price,beds,baths,sqft,lot_hoa_walk,agent,url
"Property at 129 W 70th St Unit GARDEN, New York City, NY 10023, 4 beds, 3 baths","$3,250,000",4 beds,3 baths,"2,926 sq ft","$3,386 HOA; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/129-W-70th-St-10023/home/45269192
"Property at 7-11 123, College Point, NY 11356, 3 beds, 3 baths","$1,098,000",3 beds,3 baths,"1,630 sq ft","4,500 sq ft lot; Very walkable",Listing by Royalux Realty LLC,https://www.redfin.com/NY/College-Point/711-123rd-St-11356/home/20876124
"Property at 170 W End Ave Unit 1P, New York City, NY 10023, 2 beds, 2 baths","$1,340,000",2 beds,2 baths,"1,256 sq ft","$2,461 HOA; Garage; Walker's paradise",Listing by The Agency Brokerage • Provided by REBNY,https://www.redfin.com/NY/New-York/170-W-End-Ave-10023/unit-1P/home/196261300
"Property at 4026 Wickham Ave, Bronx, NY 10466, 4 beds, 2 baths","$749,900",4 beds,2 baths,"1,920 sq ft","2,375 sq ft lot; Garage; Very walkable",Listing by YourHomeSold Guaranteed Realty,https://www.redfin.com/NY/Bronx/4026-Wickham-Ave-10466/home/44738314
"Property at 200-22 39th Ave, Bayside, NY 11361, 3 beds, 1.5 baths","$928,000",3 beds,1.5 baths,"1,196 sq ft","5,133 sq ft lot; Garage; Walker's paradise",Listing by Coldwell Banker American Homes,https://www.redfin.com/NY/Bayside/20022-39th-Ave-11361/home/20835698
"Property at 46 Bay 37th St, Brooklyn, NY 11214, 9 beds, 4.5 baths","$2,199,000",9 beds,4.5 baths,"3,960 sq ft","2,900 sq ft lot; 3 garage spots; Walker's paradise",Listing by E-House Realty of Avenue U Inc,https://www.redfin.com/NY/Brooklyn/46-Bay-37th-St-11214/home/40848149
"Property at 108-49 63rd Ave Unit LC, Forest Hills, NY 11375, 1 bath","$199,000",0 beds,1 bath,600 sq ft,,Listing by Keller Williams Points North,https://www.redfin.com/NY/Flushing/108-49-63rd-Ave-11375/unit-LC/home/196259317
"Property at 2400 E 3rd St #515, Brooklyn, NY 11223, 2 beds, 1 bath","$365,000",2 beds,1 bath,925 sq ft,Walker's paradise,Listing by New World Realty Group LLC,https://www.redfin.com/NY/Brooklyn/2400-E-3rd-St-11223/unit-515/home/196258580
"Property at 3344 Junction Blvd Unit 2X, Jackson Heights, NY 11372, 1 bed, 1 bath","$258,600",1 bed,1 bath,690 sq ft,Garage; Walker's paradise,Listing by Century Homes Realty Group LLC,https://www.redfin.com/NY/Jackson-Heights/3344-Junction-Blvd-11372/unit-2X/home/146037225
"Property at 66-48 73rd Pl, Middle Village, NY 11379, 3 beds, 1.5 baths","$919,000",3 beds,1.5 baths,"1,116 sq ft","1,490 sq ft lot; Garage; Very walkable",Listing by Coldwell Banker Phillips,https://www.redfin.com/NY/Middle-Village/6648-73rd-Pl-11379/home/20894194
"Property at 14-11 111th St, College Point, NY 11356, 3 beds, 3 baths","$820,000",3 beds,3 baths,"1,500 sq ft","2,500 sq ft lot; Somewhat walkable",Listing by Jamie Realty Group,https://www.redfin.com/NY/College-Point/1411-111th-St-11356/home/20871465
"Property at 246 E 90th St Unit 3C, New York (manhattan), NY 10128, 1 bed, 1 bath","$325,000",1 bed,1 bath,450 sq ft,Walker's paradise,Listing by Christie's Int. Real Estate,https://www.redfin.com/NY/New-York/246-E-90th-St-10128/unit-3C/home/45201167
"Property at 1828 215th St, Bayside, NY 11360, 7 beds, 4.5 baths","$1,818,000",7 beds,4.5 baths,"3,129 sq ft","3,900 sq ft lot; Garage; Very walkable",Listing by Charles Rutenberg Realty Inc,https://www.redfin.com/NY/Bayside/1828-215th-St-11360/home/20837355
"Property at 7267 Yellowstone Blvd, Forest Hills, NY 11375, 3 beds, 3.5 baths","$1,448,000",3 beds,3.5 baths,"1,780 sq ft","2,000 sq ft lot; Garage; Very walkable",Listing by High Dune Realty LLC,https://www.redfin.com/NY/Forest-Hills/7267-Yellowstone-Blvd-11375/home/20891106
"Property at 130 William St Unit 50A, New York City, NY 10038, 4 beds, 4.5 baths","$6,645,990",4 beds,4.5 baths,"2,495 sq ft","$4,779 HOA; Walker's paradise",Listing by Corcoran Sunshine Marketing Group • Provided by REBNY,https://www.redfin.com/NY/New-York/130-William-St-10038/unit-50A/home/147154158
"Property at 6070 Woodhaven Blvd Unit 5E, Elmhurst, NY 11373, 3 beds, 2 baths","$760,000",3 beds,2 baths,"1,155 sq ft","7,874 sq ft lot; Very walkable",Listing by Style And Haus NYC LLC,https://www.redfin.com/NY/Elmhurst/6070-Woodhaven-Blvd-11373/unit-5E/home/21689116
"Property at 3655 Shore Pkwy Unit 2J, Brooklyn, NY 11235, 2 beds, 1 bath","$318,000",2 beds,1 bath,"1,000 sq ft",Very walkable,Listing by Continent Realty LLC,https://www.redfin.com/NY/Brooklyn/3655-Shore-Pkwy-11235/unit-2J/home/196258195
"Property at 3039 Ocean Pkwy Unit B6, Brooklyn, NY 11235, 1 bed, 1 bath","$249,000",1 bed,1 bath,800 sq ft,Walker's paradise,Listing by Capital Listings Realty,https://www.redfin.com/NY/Brooklyn/3039-Ocean-Pkwy-11235/unit-B6/home/40654209
"Property at 2626 Homecrest Ave Unit 1S, Brooklyn, NY 11235, 1 bed, 1 bath","$289,000",1 bed,1 bath,750 sq ft,Garage; Walker's paradise,Listing by Re Max Team,https://www.redfin.com/NY/Brooklyn/2626-Homecrest-Ave-11235/unit-1S/home/40653432
"Property at 55 Aster Ct, Brooklyn, NY 11229, 2 beds, 1 bath","$559,000",2 beds,1 bath,600 sq ft,"1,768 sq ft lot; Very walkable",Listing by Doreen Greenwood Inc.,https://www.redfin.com/NY/Brooklyn/55-Aster-Ct-11229/home/40912008
"Property at 223rd place 67th Ave Unit A, Bayside, NY 11364, 2 beds, 1 bath","$370,000",2 beds,1 bath,750 sq ft,Very walkable,Listing by Charles Rutenberg Realty Inc,https://www.redfin.com/NY/Queens/223rd-place-11364/unit-A/home/196258083
"Property at 8364 Talbot St Unit 4B, Kew Gardens, NY 11415, 1 bed, 1 bath","$249,000",1 bed,1 bath,327 sq ft,"$1,022 HOA; Very walkable",Listing by Style And Haus NYC LLC,https://www.redfin.com/NY/Kew-Gardens/8364-Talbot-St-11415/unit-4B/home/172952367
"Property at 568 Beach 65th St, Arverne, NY 11692, 3 beds, 1.5 baths","$579,000",3 beds,1.5 baths,"2,100 sq ft","2,500 sq ft lot; Somewhat walkable",Listing by Keller Williams Realty Partner,https://www.redfin.com/NY/Arverne/568-Beach-65th-St-11692/home/20673351
"Property at 61-25 97 St Unit 15-J, Rego Park, NY 11374, 2 beds, 2 baths","$488,000",2 beds,2 baths,"1,000 sq ft",Garage; Walker's paradise,Listing by Strictly Realty,https://www.redfin.com/NY/Rego-Park/61-25-97th-St-11374/unit-15J/home/28545463
"Property at 192-10 104th Ave, Saint Albans, NY 11412, 4 beds, 3 baths","$699,000",4 beds,3 baths,"1,409 sq ft","4,000 sq ft lot; Garage; Very walkable",Listing by Coldwell Banker American Homes,https://www.redfin.com/NY/Saint-Albans/19210-104th-Ave-11412/home/20739360
"Property at 102-40 67th Dr Unit 1L, New York City, NY 11375, 1 bed, 1 bath","$359,000",1 bed,1 bath,920 sq ft,$659 HOA; Walker's paradise,Listing by Corcoran Group • Provided by REBNY,https://www.redfin.com/NY/Flushing/102-40-67th-Dr-11375/unit-1L/home/196257762
"Property at 4199 Amboy Rd #7, Staten Island, NY 10308, 2 beds, 1.5 baths","$499,000",2 beds,1.5 baths,816 sq ft,"1,000 sq ft lot; $340 HOA; Pool",Listing by City House Realty Inc.,https://www.redfin.com/NY/Staten-Island/4199-Amboy-Rd-10308/unit-7/home/56105613
"Property at 10918 Lefferts Blvd Unit A3, South Ozone Park, NY 11420, 1 bed, 1 bath","$359,000",1 bed,1 bath,"7,600 sq ft","7,600 sq ft lot; Very walkable",Listing by Century 21 Professional Realty,https://www.redfin.com/NY/South-Ozone-Park/10918-Lefferts-Blvd-11420/unit-A3/home/20641814
"Property at 50 Madison St #6, New York City, NY 10038, 3 beds, 3.5 baths","$6,150,000",3 beds,3.5 baths,— sq ft,"$3,085 HOA; Walker's paradise",Listing by Brown Harris Stevens Residential Sales LLC • Provided by REBNY,https://www.redfin.com/NY/New-York/50-Madison-St-10038/unit-6/home/196257668
"Property at 129-06 131 St, South Ozone Park, NY 11420, 3 beds, 2 baths","$499,900",3 beds,2 baths,"1,216 sq ft","3,080 sq ft lot; Garage; Very walkable",Listing by Liberty Chateau Realty Inc,https://www.redfin.com/NY/South-Ozone-Park/12906-131st-St-11420/home/20722940
"Property at 370 Lenox Ave #501, New York City, NY 10027, 3 beds, 2.5 baths","$1,200,000",3 beds,2.5 baths,"1,177 sq ft",$800 HOA; Walker's paradise,Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/370-Lenox-Ave-10027/unit-501/home/196257450
"Property at 301 E 69th St Unit 4C, New York City, NY 10021, 1 bed, 1 bath","$649,000",1 bed,1 bath,— sq ft,"$1,587 HOA; Garage; Walker's paradise",Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/301-E-69th-St-10021/unit-4C/home/45211576
"Property at 8530 90th St, Woodhaven, NY 11421, 3 beds, 2.5 baths","$759,000",3 beds,2.5 baths,"1,639 sq ft",,Listing by Realty Executives LAR Group,https://www.redfin.com/NY/Woodhaven/8530-90th-St-11421/home/20788612
"Property at 245 E 93rd St Unit 18A, New York City, NY 10128, 2 beds, 1.5 baths","$1,100,000",2 beds,1.5 baths,967 sq ft,,Listing by Douglas Elliman Real Estate • Provided by REBNY,https://www.redfin.com/NY/New-York/245-E-93rd-St-10128/unit-18A/home/45293692
"Property at 160 India St Unit 1-R, Brooklyn, NY 11222, 1 bed, 1 bath","$1,150,000",1 bed,1 bath,662 sq ft,,Listing by R New York • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/160-India-St-11222/unit-1R/home/195131109
"Property at 64-58 215th St, Bayside, NY 11364, 4 beds, 3 baths","$3,150,000",4 beds,3 baths,"5,000 sq ft",,Listing by Coldwell Banker American Homes,https://www.redfin.com/NY/Oakland-Gardens/6458-215th-St-11364/home/20808094
"Property at 61-15 98th St Unit 16H, Rego Park, NY 11374, 2 beds, 1 bath","$449,000",2 beds,1 bath,850 sq ft,,Listing by East Coast Realty Partners LLC,https://www.redfin.com/NY/Flushing/61-15-98th-St-11374/unit-16H/home/196257056
"Property at 43-32 160th St, Flushing, NY 11358, 6 beds, 4 baths","$2,182,000",6 beds,4 baths,"3,150 sq ft",,Listing by E Realty International Corp,https://www.redfin.com/NY/Flushing/4332-160th-St-11358/home/144212870
"Property at 1255 Bushwick Ave Unit 7B, Brooklyn, NY 11207, 1 bed, 1 bath","$549,000",1 bed,1 bath,652 sq ft,,Listing by Serhant • Provided by REBNY,https://www.redfin.com/NY/Brooklyn/1255-Bushwick-Ave-11207/unit-7B/home/144574037
"Property at 142-20 41 Unit 4C, Flushing, NY 11355, 1 bath","$300,000",0 beds,1 bath,572 sq ft,,Listing by Winzone Realty Inc,https://www.redfin.com/NY/Flushing/14220-41-11355/unit-4C/home/196256895
"Property at 37-20 83rd St Unit 6J, New York City, NY 11372, 1 bed, 1 bath","$320,000",1 bed,1 bath,— sq ft,,Listing by Compass • Provided by REBNY,https://www.redfin.com/NY/Jackson-Heights/3720-83rd-St-11372/unit-6J/home/20657535
"Property at 226 E 79th St Unit n/a, New York City, NY 10075, 5 beds, 5.5 baths","$5,900,000",5 beds,5.5 baths,"4,412 sq ft",,Listing by Keller Williams NYC • Provided by REBNY,https://www.redfin.com/NY/New-York/226-E-79th-St-10075/unit-n-a/home/196256740
"Property at 76-10 34th Ave Unit 2-M, Jackson Heights, NY 11372, 2 beds, 1 bath","$399,000",2 beds,1 bath,875 sq ft,,Listing by Auri Realty Management LLC,https://www.redfin.com/NY/Queens/7610-34th-Ave-11372/unit-2M/home/185753481
"Property at 58-07 Van Cleef St, Corona, NY 11368, 6 beds, 6 baths","$1,299,999",6 beds,6 baths,"3,000 sq ft",,Listing by Prime Realty,https://www.redfin.com/NY/Corona/5807-Van-Cleef-St-11368/home/20918167
"Property at 26-33 94th St, East Elmhurst, NY 11369, 3 beds, 1.5 baths","$849,000",3 beds,1.5 baths,"1,170 sq ft",,Listing by Keller Williams Landmark II,https://www.redfin.com/NY/East-Elmhurst/2633-94th-St-11369/home/20936920
"Property at 79-31 69th Ave, Middle Village, NY 11379, 5 beds, 4 baths","$1,348,000",5 beds,4 baths,"3,000 sq ft",,Listing by Tscherne Realty Inc,https://www.redfin.com/NY/Middle-Village/7931-69th-Ave-11379/home/20876857
"Property at 144-77 Barclay Ave Unit 3D, Flushing, NY 11355, 1 bed, 1 bath","$518,000",1 bed,1 bath,565 sq ft,,Listing by E Realty International Corp,https://www.redfin.com/NY/Flushing/14477-Barclay-Ave-11355/unit-3D/home/28685380
"Property at 3215 Olinville Ave Unit 4C, Bronx, NY 10467, 1 bed, 1 bath","$99,000",1 bed,1 bath,700 sq ft,,Listing by Prominent Properties Sotheby's,https://www.redfin.com/NY/Bronx/3215-Olinville-Ave-10467/unit-4C/home/192160015
"Property at 2727 Ocean Pkwy Unit A14, Brooklyn, NY 11235, 1 bed, 1 bath","$315,000",1 bed,1 bath,800 sq ft,,Listing by Grand Realty Advisors,https://www.redfin.com/NY/Brooklyn/2727-Ocean-Pkwy-11235/unit-a14/home/190955115
"Property at 36 Dahill Rd Unit 4f, Brooklyn, NY 11218, 1 bed, 1 bath","$450,000",1 bed,1 bath,950 sq ft,,"Listing by KMS Realty Group, Inc.",https://www.redfin.com/NY/Brooklyn/36-Dahill-Rd-11218/unit-4f/home/196256021
"Property at 240-21 68th Ave #10, Douglaston, NY 11362, 5 beds, 4 baths","$1,325,000",5 beds,4 baths,"2,310 sq ft",,Listing by Expert Homes NY,https://www.redfin.com/NY/Little-Neck/24021-68th-Ave-11362/unit-10/home/20799299
"Property at 274 Park St, Staten Island, NY 10306, 4 beds, 2.5 baths","$949,000",4 beds,2.5 baths,"2,516 sq ft","4,537 sq ft lot; Garage; Somewhat walkable",Listing by DiTommaso Real Estate,https://www.redfin.com/NY/Staten-Island/274-Park-St-10306/home/56065900
"Property at 112-50 38th Ave, Corona, NY 11368, 4 beds, 2 baths","$1,048,000",4 beds,2 baths,"2,500 sq ft","2,500 sq ft lot; Garage; Very walkable",Listing by Realty Executives Today,https://www.redfin.com/NY/Corona/11250-38th-Ave-11368/home/20921890
"Property at 4148 De Reimer Ave, Bronx, NY 10466, 5 beds, 3 baths","$889,000",5 beds,3 baths,"1,700 sq ft","4,750 sq ft lot; Very walkable",Listing by RE/MAX Distinguished Hms.&Prop,https://www.redfin.com/NY/Bronx/4148-De-Reimer-Ave-10466/home/44744445
"Property at 58 Laurel Ave, Staten Island, NY 10304, 3 beds, 2 baths","$494,900",3 beds,2 baths,"1,116 sq ft","3,049 sq ft lot; Very walkable",Listing by Island Advantage Realty LLC,https://www.redfin.com/NY/Staten-Island/58-Laurel-Ave-10304/home/56047915
"Property at 159 Buffalo St, Staten Island, NY 10306, 3 beds, 1.5 baths","$659,000",3 beds,1.5 baths,"1,140 sq ft","2,374 sq ft lot; Car-dependent",Listing by DiTommaso Real Estate,https://www.redfin.com/NY/Staten-Island/159-Buffalo-St-10306/home/56067109
"Property at 42-26 81st Street Unit 5G, Elmhurst, NY 11373, 1 bed, 1 bath","$399,000",1 bed,1 bath,800 sq ft,$856 HOA; Walker's paradise,Listing by Bold Realty Corp,https://www.redfin.com/NY/Elmhurst/4226-81st-St-11373/unit-5G/home/178793916
"Property at 499 Medina St, Staten Island, NY 10306, 3 beds, 1.5 baths","$699,000",3 beds,1.5 baths,"2,016 sq ft","1,400 sq ft lot; Garage; Car-dependent",Listing by Momentum Real Estate LLC,https://www.redfin.com/NY/Staten-Island/499-Medina-St-10306/home/56018610
"Property at 625 S 5th Ave, Mount Vernon, NY 10550, 6 beds, 4 baths","$769,000",6 beds,4 baths,"2,900 sq ft","3,920 sq ft lot; Garage; Very walkable",Listing by eXp Realty,https://www.redfin.com/NY/Mount-Vernon/625-S-5th-Ave-10550/home/20212588
"Property at 41-18 27th St Unit 1-B, New York City, NY 11101, 2 beds, 2.5 baths","$1,250,000",2 beds,2.5 baths,"1,159 sq ft","$1,329 HOA; Walker's paradise",Listing by Nest Seekers LLC • Provided by REBNY,https://www.redfin.com/NY/Long-Island-City/4118-27th-St-11101/unit-1B/home/109707165
